Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
< 0 DM,18,Critical account,Radio/TV,1880,< 100 DM,4 <= ... < 7 years,4,Male married/widowed,None,1,Savings/Life insurance,32,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,36,Delayed payments,Business,7980,Unknown/No savings,< 1 year,4,Male single,None,4,Car/other,27,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,30,No credits/all paid,Furniture/equipment,4583,< 100 DM,1 <= ... < 4 years,2,Male divorced/separated,Guarantor,2,Real estate,32,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,12,Existing credits paid back,Car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Savings/Life insurance,26,None,Own,1,Skilled employee,1,None,Yes,Bad
>= 200 DM/salary assigned,24,Existing credits paid back,Car (new),947,< 100 DM,4 <= ... < 7 years,4,Male single,None,3,Unknown/No property,38,Bank,For free,1,Skilled employee,2,None,Yes,Bad
< 0 DM,12,Existing credits paid back,Education,684,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Car/other,40,None,Rent,1,Unskilled-resident,2,None,Yes,Bad
< 0 DM,48,Existing credits paid back,Education,7476,< 100 DM,4 <= ... < 7 years,4,Male single,None,1,Unknown/No property,50,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Furniture/equipment,1922,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,37,None,Own,1,Unskilled-resident,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Car (new),2303,< 100 DM,>= 7 years,4,Male single,Co-applicant,1,Real estate,45,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,36,Delayed payments,Car (new),8086,100 <= ... < 500 DM,>= 7 years,2,Male single,None,4,Car/other,42,None,Own,4,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,24,Critical account,Car (used),2346,< 100 DM,4 <= ... < 7 years,4,Male single,None,3,Car/other,35,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,14,Existing credits paid back,Car (new),3973,< 100 DM,Unemployed,1,Male single,None,4,Unknown/No property,22,None,For free,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),888,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,41,Bank,Own,1,Unskilled-resident,2,None,Yes,Bad
No checking account,48,Existing credits paid back,Radio/TV,10222,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,3,Car/other,37,Stores,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,30,No credits/all paid,Business,4221,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,1,Car/other,28,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,18,Critical account,Furniture/equipment,6361,< 100 DM,>= 7 years,2,Male single,None,1,Unknown/No property,41,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Radio/TV,1297,< 100 DM,1 <= ... < 4 years,3,Male married/widowed,None,4,Real estate,23,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Car (new),900,Unknown/No savings,1 <= ... < 4 years,4,Male married/widowed,None,2,Car/other,23,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,21,Existing credits paid back,Furniture/equipment,2241,< 100 DM,>= 7 years,4,Male single,None,2,Real estate,50,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,6,Delayed payments,Furniture/equipment,1050,< 100 DM,Unemployed,4,Male single,None,1,Savings/Life insurance,35,Stores,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,6,Critical account,Education,1047,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Savings/Life insurance,50,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,24,Critical account,Other,6314,< 100 DM,Unemployed,4,Male single,Co-applicant,2,Unknown/No property,27,Bank,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,30,All credits paid back,Furniture/equipment,3496,>= 1000 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,34,Stores,Own,1,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,48,All credits paid back,Business,3609,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,1,Real estate,27,Stores,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,12,Critical account,Car (new),4843,< 100 DM,>= 7 years,3,Male single,Co-applicant,4,Savings/Life insurance,43,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Bad
>= 200 DM/salary assigned,30,Critical account,Radio/TV,3017,< 100 DM,>= 7 years,4,Male single,None,4,Savings/Life insurance,47,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,24,Critical account,Business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,Male single,None,3,Savings/Life insurance,27,None,Own,2,Unskilled-resident,1,"Yes, registered",Yes,Good
No checking account,36,Existing credits paid back,Business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,Male single,None,2,Car/other,31,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,60,Existing credits paid back,Car (new),10366,< 100 DM,>= 7 years,2,Male single,None,4,Savings/Life insurance,42,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,6,Critical account,Car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,Male married/widowed,None,2,Car/other,24,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,21,Delayed payments,Business,2580,500 <= ... < 1000 DM,< 1 year,4,Male single,None,2,Real estate,41,Bank,Own,1,Unskilled-resident,2,None,Yes,Bad
No checking account,30,Critical account,Radio/TV,4530,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,4,Car/other,26,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,24,Critical account,Furniture/equipment,5150,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,33,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,72,Existing credits paid back,Radio/TV,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,Male married/widowed,None,2,Car/other,24,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Radio/TV,2384,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,64,Bank,Rent,1,Unskilled-resident,1,None,Yes,Good
No checking account,18,Existing credits paid back,Radio/TV,1453,< 100 DM,< 1 year,3,Female div/sep/married,None,1,Real estate,26,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,6,Existing credits paid back,Education,1538,< 100 DM,< 1 year,1,Female div/sep/married,None,2,Unknown/No property,56,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,2279,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,37,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,15,Delayed payments,Radio/TV,1478,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,3,Real estate,33,Bank,Own,2,Skilled employee,1,None,Yes,Good
No checking account,24,Critical account,Radio/TV,5103,< 100 DM,< 1 year,3,Male married/widowed,None,3,Unknown/No property,47,None,For free,3,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,Delayed payments,Business,9857,100 <= ... < 500 DM,4 <= ... < 7 years,1,Male single,None,3,Savings/Life insurance,31,None,Own,2,Unskilled-resident,2,"Yes, registered",Yes,Good
No checking account,60,Existing credits paid back,Car (new),6527,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,34,None,For free,1,Skilled employee,2,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,10,Critical account,Radio/TV,1347,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,2,Savings/Life insurance,27,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,Delayed payments,Car (new),2862,100 <= ... < 500 DM,>= 7 years,4,Male single,None,3,Unknown/No property,30,None,For free,1,Skilled employee,1,None,Yes,Good
No checking account,9,Existing credits paid back,Radio/TV,2753,100 <= ... < 500 DM,>= 7 years,3,Male single,Co-applicant,4,Car/other,35,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Car (new),3651,>= 1000 DM,1 <= ... < 4 years,1,Male single,None,3,Savings/Life insurance,31,None,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,15,Critical account,Furniture/equipment,975,< 100 DM,1 <= ... < 4 years,2,Male divorced/separated,None,3,Savings/Life insurance,25,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,15,Existing credits paid back,Repairs,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Real estate,25,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Radio/TV,2896,100 <= ... < 500 DM,< 1 year,2,Male single,None,1,Car/other,29,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,6,Critical account,Car (new),4716,Unknown/No savings,< 1 year,1,Male single,None,3,Real estate,44,None,Own,2,Unskilled-resident,2,None,Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,2284,< 100 DM,4 <= ... < 7 years,4,Male single,None,2,Car/other,28,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,6,Existing credits paid back,Car (used),1236,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Male single,None,4,Savings/Life insurance,50,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1103,< 100 DM,4 <= ... < 7 years,4,Male single,Guarantor,3,Real estate,29,None,Own,2,Skilled employee,1,None,No,Good
No checking account,12,Critical account,Car (new),926,< 100 DM,Unemployed,1,Female div/sep/married,None,2,Savings/Life insurance,38,None,Own,1,Unemployed/non-resident,1,None,Yes,Good
No checking account,18,Critical account,Radio/TV,1800,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,24,None,Own,2,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,15,Existing credits paid back,Education,1905,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,40,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Furniture/equipment,1123,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,29,None,Rent,1,Unskilled-resident,1,None,Yes,Bad
< 0 DM,48,Critical account,Car (used),6331,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,46,None,For free,2,Skilled employee,1,"Yes, registered",Yes,Bad
>= 200 DM/salary assigned,24,Existing credits paid back,Radio/TV,1377,100 <= ... < 500 DM,>= 7 years,4,Female div/sep/married,None,2,Unknown/No property,47,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,30,Delayed payments,Business,2503,100 <= ... < 500 DM,>= 7 years,4,Male single,None,2,Savings/Life insurance,41,Stores,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,27,Existing credits paid back,Business,2528,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Savings/Life insurance,32,None,Own,1,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,15,Existing credits paid back,Car (new),5324,500 <= ... < 1000 DM,>= 7 years,1,Female div/sep/married,None,4,Unknown/No property,35,None,For free,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Car (new),6560,100 <= ... < 500 DM,4 <= ... < 7 years,3,Male single,None,2,Savings/Life insurance,24,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,12,No credits/all paid,Furniture/equipment,2969,< 100 DM,< 1 year,4,Female div/sep/married,None,3,Savings/Life insurance,25,None,Rent,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,9,Existing credits paid back,Radio/TV,1206,< 100 DM,>= 7 years,4,Female div/sep/married,None,4,Real estate,25,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Radio/TV,2118,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,37,None,Own,1,Unskilled-resident,2,None,Yes,Good
No checking account,18,Critical account,Radio/TV,629,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,3,Savings/Life insurance,32,Bank,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,6,All credits paid back,Education,1198,< 100 DM,>= 7 years,4,Female div/sep/married,None,4,Unknown/No property,35,None,For free,1,Skilled employee,1,None,Yes,Bad
No checking account,21,Existing credits paid back,Car (used),2476,Unknown/No savings,>= 7 years,4,Male single,None,4,Real estate,46,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,9,Critical account,Radio/TV,1138,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Real estate,25,None,Own,2,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,60,Existing credits paid back,Car (new),14027,< 100 DM,4 <= ... < 7 years,4,Male single,None,2,Unknown/No property,27,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,30,Critical account,Car (used),7596,Unknown/No savings,>= 7 years,1,Male single,None,4,Car/other,63,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,30,Critical account,Radio/TV,3077,Unknown/No savings,>= 7 years,3,Male single,None,2,Car/other,40,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,18,Existing credits paid back,Radio/TV,1505,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Unknown/No property,32,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,24,Critical account,Radio/TV,3148,Unknown/No savings,1 <= ... < 4 years,3,Male single,None,2,Car/other,31,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,20,No credits/all paid,Car (used),6148,100 <= ... < 500 DM,>= 7 years,3,Male married/widowed,None,4,Car/other,31,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,9,No credits/all paid,Radio/TV,1337,< 100 DM,< 1 year,4,Male single,None,2,Car/other,34,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,6,All credits paid back,Education,433,>= 1000 DM,< 1 year,4,Female div/sep/married,None,2,Savings/Life insurance,24,Bank,Rent,1,Skilled employee,2,None,Yes,Bad
< 0 DM,12,Existing credits paid back,Car (new),1228,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Real estate,24,None,Own,1,Unskilled-resident,1,None,Yes,Bad
0 <= ... < 200 DM,9,Existing credits paid back,Radio/TV,790,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Female div/sep/married,None,3,Real estate,66,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,27,Existing credits paid back,Car (new),2570,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,3,Real estate,21,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,6,Critical account,Car (new),250,>= 1000 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Real estate,41,Bank,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,15,Critical account,Radio/TV,1316,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Male married/widowed,None,2,Savings/Life insurance,47,None,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Radio/TV,1882,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,25,Bank,Rent,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,48,All credits paid back,Business,6416,< 100 DM,>= 7 years,4,Female div/sep/married,None,3,Unknown/No property,59,None,Rent,1,Skilled employee,1,None,Yes,Bad
>= 200 DM/salary assigned,24,Critical account,Business,1275,>= 1000 DM,1 <= ... < 4 years,2,Male divorced/separated,None,4,Real estate,36,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Delayed payments,Radio/TV,6403,< 100 DM,< 1 year,1,Male single,None,2,Car/other,33,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Radio/TV,1987,< 100 DM,1 <= ... < 4 years,2,Male single,None,4,Real estate,21,None,Rent,1,Unskilled-resident,2,None,Yes,Bad
0 <= ... < 200 DM,8,Existing credits paid back,Radio/TV,760,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,Guarantor,2,Real estate,44,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,24,Existing credits paid back,Car (used),2603,>= 1000 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,28,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,4,Critical account,Car (new),3380,< 100 DM,4 <= ... < 7 years,1,Female div/sep/married,None,1,Real estate,37,None,Own,1,Skilled employee,2,None,Yes,Good
0 <= ... < 200 DM,36,All credits paid back,Domestic appliances,3990,Unknown/No savings,< 1 year,3,Female div/sep/married,None,2,Unknown/No property,29,Bank,Own,1,Unemployed/non-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Car (used),11560,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,4,Car/other,23,None,Rent,2,Management/self-employed,1,None,Yes,Bad
< 0 DM,18,Existing credits paid back,Car (new),4380,100 <= ... < 500 DM,1 <= ... < 4 years,3,Male single,None,4,Car/other,35,None,Own,1,Unskilled-resident,2,"Yes, registered",Yes,Good
No checking account,6,Critical account,Car (new),6761,< 100 DM,4 <= ... < 7 years,1,Male single,None,3,Unknown/No property,45,None,Own,2,Management/self-employed,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,30,No credits/all paid,Business,4280,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,26,None,Rent,2,Unskilled-resident,1,None,Yes,Bad
< 0 DM,24,All credits paid back,Car (new),2325,100 <= ... < 500 DM,4 <= ... < 7 years,2,Male single,None,3,Car/other,32,Bank,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,10,All credits paid back,Radio/TV,1048,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Real estate,23,Stores,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,21,Existing credits paid back,Radio/TV,3160,Unknown/No savings,>= 7 years,4,Male single,None,3,Savings/Life insurance,41,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,All credits paid back,Furniture/equipment,2483,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,4,Real estate,22,Stores,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,39,Critical account,Furniture/equipment,14179,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,4,Savings/Life insurance,30,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
